Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
08/19/2025 10:05:34,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:34,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:34,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:34,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:34,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:34,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:34,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:34,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:34,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:34,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:34,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:34,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:34,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:34,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:35,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:35,System.Runtime,Working Set (MB),Metric,139.374592
08/19/2025 10:05:35,System.Runtime,GC Heap Size (MB),Metric,30.82164
08/19/2025 10:05:35,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:35,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:35,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:35,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:35,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:35,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:35,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:35,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
08/19/2025 10:05:35,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
08/19/2025 10:05:35,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:35,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:35,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:35,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:35,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:35,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:35,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:35,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:35,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:35,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:35,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:35,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:35,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:35,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:35,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:36,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:36,System.Runtime,Working Set (MB),Metric,139.374592
08/19/2025 10:05:36,System.Runtime,GC Heap Size (MB),Metric,30.829864
08/19/2025 10:05:36,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:36,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:36,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:36,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:36,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:36,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:36,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:36,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
08/19/2025 10:05:36,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
08/19/2025 10:05:36,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:36,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:36,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:36,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:36,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:36,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:36,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:36,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:36,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:36,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:36,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:36,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:36,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:36,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:36,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:37,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:37,System.Runtime,Working Set (MB),Metric,139.374592
08/19/2025 10:05:37,System.Runtime,GC Heap Size (MB),Metric,30.829864
08/19/2025 10:05:37,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:37,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:37,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:37,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:37,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:37,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:37,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:37,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,1
08/19/2025 10:05:37,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
08/19/2025 10:05:37,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:37,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:37,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:37,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:37,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:37,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:37,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:37,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:37,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:37,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:37,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:37,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:37,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:37,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:37,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:38,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:38,System.Runtime,Working Set (MB),Metric,139.374592
08/19/2025 10:05:38,System.Runtime,GC Heap Size (MB),Metric,30.838088
08/19/2025 10:05:38,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:38,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:38,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:38,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:38,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:38,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:38,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:38,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,1
08/19/2025 10:05:38,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
08/19/2025 10:05:38,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:38,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:38,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:38,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:38,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:38,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:38,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:38,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:38,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:38,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:38,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:38,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:38,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:38,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:38,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:39,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:39,System.Runtime,Working Set (MB),Metric,139.374592
08/19/2025 10:05:39,System.Runtime,GC Heap Size (MB),Metric,30.846312
08/19/2025 10:05:39,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:39,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:39,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:39,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:39,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:39,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:39,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:39,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
08/19/2025 10:05:39,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
08/19/2025 10:05:39,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:39,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:39,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:39,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:39,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:39,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:39,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:39,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:39,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:39,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:39,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:39,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:39,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:39,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:39,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:40,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:40,System.Runtime,Working Set (MB),Metric,139.370496
08/19/2025 10:05:40,System.Runtime,GC Heap Size (MB),Metric,30.846312
08/19/2025 10:05:40,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:40,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:40,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:40,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:40,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:40,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:40,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:40,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
08/19/2025 10:05:40,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
08/19/2025 10:05:40,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:40,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:40,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:40,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:40,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:40,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:40,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:40,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:40,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:40,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:40,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:40,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:40,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:40,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:40,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:41,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:41,System.Runtime,Working Set (MB),Metric,139.374592
08/19/2025 10:05:41,System.Runtime,GC Heap Size (MB),Metric,30.854536
08/19/2025 10:05:41,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:41,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:41,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:41,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:41,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:41,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:41,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:41,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
08/19/2025 10:05:41,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
08/19/2025 10:05:41,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:41,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:41,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:41,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:41,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:41,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:41,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:41,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:41,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:41,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:41,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:41,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:41,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:41,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:41,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:42,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:42,System.Runtime,Working Set (MB),Metric,139.374592
08/19/2025 10:05:42,System.Runtime,GC Heap Size (MB),Metric,30.86276
08/19/2025 10:05:42,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:42,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:42,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:42,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:42,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:42,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:42,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:42,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
08/19/2025 10:05:42,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
08/19/2025 10:05:42,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:42,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:42,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:42,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:42,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:42,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:42,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:42,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:42,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:42,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:42,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:42,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:42,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:42,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:42,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:43,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:43,System.Runtime,Working Set (MB),Metric,139.374592
08/19/2025 10:05:43,System.Runtime,GC Heap Size (MB),Metric,30.86276
08/19/2025 10:05:43,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:43,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:43,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:43,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:43,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:43,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:43,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:43,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
08/19/2025 10:05:43,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
08/19/2025 10:05:43,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:43,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
08/19/2025 10:05:43,System.Runtime,GC Committed Bytes (MB),Metric,38.313984
08/19/2025 10:05:43,System.Runtime,Exception Count (Count / 1 sec),Rate,0
08/19/2025 10:05:43,System.Runtime,% Time in GC since last GC (%),Metric,28
08/19/2025 10:05:43,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
08/19/2025 10:05:43,System.Runtime,Gen 0 Size (B),Metric,0
08/19/2025 10:05:43,System.Runtime,Gen 1 Size (B),Metric,6371424
08/19/2025 10:05:43,System.Runtime,Gen 2 Size (B),Metric,19687984
08/19/2025 10:05:43,System.Runtime,LOH Size (B),Metric,289096
08/19/2025 10:05:43,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262312
08/19/2025 10:05:43,System.Runtime,Number of Assemblies Loaded,Metric,124
08/19/2025 10:05:43,System.Runtime,IL Bytes Jitted (B),Metric,456853
08/19/2025 10:05:43,System.Runtime,Number of Methods Jitted,Metric,6520
08/19/2025 10:05:43,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
08/19/2025 10:05:44,System.Runtime,CPU Usage (%),Metric,0
08/19/2025 10:05:44,System.Runtime,Working Set (MB),Metric,139.374592
08/19/2025 10:05:44,System.Runtime,GC Heap Size (MB),Metric,30.870984
08/19/2025 10:05:44,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:44,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:44,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
08/19/2025 10:05:44,System.Runtime,Gen 0 GC Budget (MB),Metric,12
08/19/2025 10:05:44,System.Runtime,ThreadPool Thread Count,Metric,2
08/19/2025 10:05:44,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
08/19/2025 10:05:44,System.Runtime,ThreadPool Queue Length,Metric,0
08/19/2025 10:05:44,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
08/19/2025 10:05:44,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
08/19/2025 10:05:44,System.Runtime,Number of Active Timers,Metric,2
08/19/2025 10:05:44,System.Runtime,GC Fragmentation (%),Metric,0.39150997849896824
